question,answer
"Given function $f(x) = ax^3 + b\sin x + 4$ ($a, b \in \mathbb{R}$). If $f(\lg(\log_2 10)) = 5$, then $f(\lg(\lg 2)) =$",3
"Given that the domain of function $f(x)$ is $\mathbb{R}$, and $f(x + y) + f(x - y) = f(x)f(y)$, $f(1) = 1$, then $\sum_{k=1}^{22} f(k) =$",0
"Given function $f(x)$ with domain $\mathbb{R}$, such that $f(x + 1)$ is an odd function and $f(x + 2)$ is an even function. When $x \in [1, 2]$, $f(x) = ax^2 + b$. If $f(0) + f(3) = 6$, then $f\left(\frac{9}{2}\right) =$",\frac{5}{2}
"Given function $f(x)$ with domain $\mathbb{R}$, such that $f(x+2)$ is an even function and $f(2x+1)$ is an odd function. Then",$f(-1) = 0$
"Given $f(x)$ is an odd function defined on $(-\infty, +\infty)$ satisfying $f(1-x) = f(1+x)$. If $f(1) = 2$, then $f(1) + f(2) + f(3) + \dots + f(50) =$",0
"Given function $f(x)$ satisfies $f(x+4) = f(x)$ for all $x \in \mathbb{R}$. On the interval $(-2, 2]$, the function is defined as $f(x) = \begin{cases} \cos \frac{\pi x}{2}, & 0 < x \leqslant 2 \\ |x + \frac{1}{2}|, & -2 < x \leqslant 0 \end{cases}$. Then the value of $f(f(15)) =$",\frac{\sqrt{2}}{2}
"已知函数 $f(x)$ 的定义域为 $R$. 当 $x<0$ 时, $f(x)=x^3-1$ ; 当 $-1 \leqslant x \leqslant 1$ 时, $f(-x)=-f(x)$; 当 $x>\frac{1}{2}$ 时, $f\left(x+\frac{1}{2}\right)=f\left(x-\frac{1}{2}\right)$, 则 $f(6)=$",2
"偶函数 $y=f(x)$ 的图象关于直线 $x=2$ 对称, $f(3)=3$, 则 $f(-1)=$",3
"若函数 $f(x)=\left(1-x^{2}\right)\left(x^{2}+a x+b\right)$ 的图象关于直线 $x=-2$ 对称, 则 $f(x)$ 的最大值为",16
"已知函数 $f(x)=\frac{1}{1+2^{x}}$, 则对任意实数 $x$, 有",$f(-x)+f(x)=1$
"已知函数 $f(x),g(x)$ 的定义域均为 $R$, 且 $f(x)+g(2-x)=5, g(x)-f(x-4)=7$. 若 $y=g(x)$ 的图象关于直线 $x=2$ 对称, $g(2)=4$, 则 $\sum_{k=1}^{22}f(k)=$",$-24$
"写出一个同时具有下列性质①②③的函数 $f(x)$ : ①$f(x_1 x_2)=f(x_1)f(x_2)$; ②当 $x \in (0,+\infty)$ 时, $f'(x)>0$; ③$f'(x)$ 是奇函数.",$f(x)=x^4$
"已知 $a \in \mathbb{R}$, 设函数 $f(x)=\begin{cases}x^2-2ax+2a, & x \leqslant 1 \\ x-a\ln x, & x>1\end{cases}$, 若关于 $x$ 的不等式 $f(x) \geqslant 0$ 在 $\mathbb{R}$ 上恒成立, 则 $a$ 的取值范围为","$[0, \mathrm{e}]$"
"已知函数 $f(x)=\begin{cases}2\sqrt{x}, & 0 \leqslant x \leqslant 1 \\ \frac{1}{x}, & x>1\end{cases}$, 若关于 $x$ 的方程 $f(x)=-\frac{1}{4}x+a(a \in R)$ 恰有两个互异的实数解, 则 $a$ 的取值范围为","$\left(\frac{5}{4}, \frac{9}{4}\right) \cup \{1\}$"
"$f(x)=x^3-2x+\mathrm{e}^x-\frac{1}{\mathrm{e}^x}$, 其中 $\mathrm{e}$ 是自然对数的底数, 若 $f(a-1)+f(2a^2) \leqslant 0$, 则实数 $a$ 的取值范围是","$[-1, \frac{1}{2}]$"
"已知奇函数 $f(x)$ 在 $R$ 上是增函数, $g(x)=xf(x)$. 若 $a=g(-\log_2 5.1), b=g(2^{0.8}), c=g(3)$, 则 $a, b, c$ 的大小关系为",$a<b<c$
"函数 $f(x)$ 在 $(-\infty, +\infty)$ 单调递减, 且为奇函数. 若 $f(1) = -1$, 则满足 $-1 \leqslant f(x-2) \leqslant 1$ 的 $x$ 的取值范围是","$[1, 3]$"
"设函数 $f(x)=\ln(1+|x|)-\frac{1}{1+x^2}$, 则使得 $f(x)>f(2x-1)$ 成立的 $x$ 的取值范围是","$(\frac{1}{3}, 1)$"
"已知偶函数 $f(x)$ 在 $[0,+\infty)$ 单调递减, $f(2)=0$. 若 $f(x-1)>0$, 则 $x$ 的取值范围是","$(-1, 3)$"
"已知 $9^m=10,a=10^m-11,b=8^m-9$, 则大小关系是?",$a>0>b$
"已知 $2^a=5, \log_8 3=b$, 则 $4^{a-3b}=$",$\frac{25}{9}$
"已知函数 $f(x)=2^x-x-1$, 则不等式 $f(x)>0$ 的解集是","$(0, 1)$"
"已知 $x, y, z$ 为正数, 且 $2^x=3^y=5^z$, 则大小关系是?",$3y < 2x < 5z$
"设函数 $f(x)=\begin{cases}3x-1, & x < 1 \\ 2^x, & x \geqslant 1\end{cases}$, 则满足 $f(f(a))=2^{f(a)}$ 的 $a$ 的取值范围是","$\left[\frac{2}{3}, +\infty\right)$"
"设 $a=0.1\mathrm{e}^{0.1}, b=\frac{1}{9}, c=-\ln 0.9$，则大小关系是?",$c<a<b$
"已知 $a=\log_5 2, b=\log_8 3, c=\frac{1}{2}$, 则大小关系是?",$a<c<b$
"设 $a=\log_2 0.3, b=\log_{\frac{1}{2}} 0.4, c=0.4^{0.3}$, 则 $a, b, c$ 的大小关系为",$a<c<b$
"若 $2^a=5^b=10$, 则 $\frac{1}{a}+\frac{1}{b}=$",1
"设 $a \log_3 4=2$, 则 $4^{-a}=$",$\frac{1}{9}$
若 $2^a + \log_2 a = 4^b + 2\log_4 b$，则大小关系是?,$a < 2b$
"Logistic 模型是常用数学模型之一, 可应用于流行病学领域. 有学者根据公布数据建立了某地区新冠肺炎累计确诊病例数 $I(t)$($t$ 的单位:天) 的 Logistic 模型: $I(t)=\frac{K}{1+\mathrm{e}^{-0.23(t-53)}}$, 其中 $K$ 为最大确诊病例数. 当 $I(t^*)=0.95K$ 时, 标志着已初步遏制疫情, 则 $t^*$ 约为 $(\ln19 \approx 3)$",66
"设 $a=\log_3 2, b=\log_5 3, c=\frac{2}{3}$, 则",$a<c<b$
"已知 $5^5<8^4, 13^4<8^5$。设 $a=\log_5 3, b=\log_8 5, c=\log_{13} 8$，则",$a<b<c$
"设 $a=3^{0.7}, b=\left(\frac{1}{3}\right)^{-0.8}, c=\log_{0.7} 0.8$，则 $a, b, c$ 的大小关系为",$c<a<b$
"已知 $a=\log_5 2, b=\log_{0.5} 0.2, c=0.5^{0.2}$, 则 $a, b, c$ 的大小关系为",$a<c<b$
"设 $a=\log_{0.2} 0.3, b=\log_2 0.3$, 则",$ab < a+b < 0$
"下列函数中, 其图象与函数 $y=\ln x$ 的图象关于直线 $x=1$ 对称的是",$y=\ln(2-x)$
"已知函数 $f(x)=\log_2(x^2+a)$, 若 $f(3)=1$, 则 $a=$",$-7$
"已知函数 $f(x)=\ln(\sqrt{1+x^2}-x)+1, f(a)=4$, 则 $f(-a)=$",-2
"已知函数 $f(x)=\begin{cases}e^x, & x \leqslant 0 \\ \ln x, & x>0\end{cases}, g(x)=f(x)+x+a$. 若 $g(x)$ 存在 2 个零点, 则 $a$ 的取值范围是","$(-1, +\infty)$"
"已知 $a=\log_2 e, b=\ln 2, c=\log_{\frac{1}{2}} \frac{1}{3}$, 则 $a, b, c$ 的大小关系为",$c>a>b$
函数 $f(x)=\sqrt{\log_2 x - 1}$ 的定义域为,"$[2, +\infty)$"
函数 $f(x)=\ln(x^2-2x-8)$ 的单调递增区间是,"$(4, +\infty)$"
"根据有关资料,围棋状态空间复杂度的上限 $M$ 约为 $3^{361}$,而可观测宇宙中普通物质的原子总数 $N$ 约为 $10^{80}$. 则下列各数中与 $\frac{M}{N}$ 最接近的是 (参考数据: $\lg3 \approx 0.48$)",$10^{93}$
"下列函数中,其定义域和值域分别与函数 $y=10^{\lg x}$ 的定义域和值域相同的是",$y=\frac{1}{\sqrt{x}}$
"设函数 $f(x)=\begin{cases}1+\log_2(2-x), & x<1 \\ 2^{x-1}, & x \geqslant 1\end{cases}$, 则 $f(-2)+f(\log_2 12)=$",9
"设函数 $y=f(x)$ 的图象与 $y=2^{x+a}$ 的图象关于直线 $y=-x$ 对称,且 $f(-2)+f(-4)=1$, 则 $a=$",2
"已知 $y=f(x)$ 是奇函数,当 $x \geqslant 0$ 时, $f(x)=x^{\frac{2}{3}}$, 则 $f(-8)$ 的值是",-4
"若 $a>b>1, 0<c<1$, 则",$a \log_b c < b \log_a c$
"已知 $a=2^{\frac{4}{3}}, b=4^{\frac{2}{5}}, c=25^{\frac{1}{3}}$, 则",$b < a < c$
"若 $a>b>0, 0<c<1$, 则",$\log_c a < \log_c b$
"设函数 $f(x)=\begin{cases}e^{x-1}, & x<1 \\ x^{\frac{1}{3}}, & x \geqslant 1\end{cases}$, 则使得 $f(x) \leqslant 2$ 成立的 $x$ 的取值范围是","$(-\infty, 8]$"
"已知 $a \in \mathbb{R}$, 若存在定义域为 $\mathbb{R}$ 的函数 $f(x)$ 同时满足下列两个条件, ①对任意 $x_0 \in \mathbb{R}, f(x_0)$ 的值为 $x_0$ 或 $x_0^2$; ②关于 $x$ 的方程 $f(x)=a$ 无实数解; 则 $a$ 的取值范围为","$(-\infty, 0) \cup (0, 1) \cup (1, +\infty)$"
"已知函数 $f(x)=\begin{cases} x^3, & x \geqslant 0 \\ -x, & x < 0 \end{cases}$。若函数 $g(x)=f(x)-|kx^2-2x|(k \in \mathbf{R})$ 恰有 4 个零点, 则 $k$ 的取值范围是","$(-\infty, 0) \cup (2\sqrt{2}, +\infty)$"
"函数 $f(x)=2\sin x - \sin 2x$ 在 $[0, 2\pi]$ 的零点个数为",$3$
"设 $f(x),g(x)$ 是定义在 $\mathbb{R}$ 上的两个周期函数, $f(x)$ 的周期为 $4, g(x)$ 的周期为 $2$, 且 $f(x)$ 是奇函数. 当 $x \in (0,2]$ 时, $f(x)=\sqrt{1-(x-1)^2}, g(x)=\begin{cases}k(x+2), & 0<x \leqslant 1 \\ -\frac{1}{2}, & 1<x \leqslant 2\end{cases}$, 其中 $k>0$. 若在区间 $(0, 9]$ 上, 关于 $x$ 的方程 $f(x)=g(x)$ 有 $8$ 个不同的实数根, 则 $k$ 的取值范围是","$\left[\frac{1}{3}, \frac{1}{2\sqrt{2}}\right)$"
