question,answer
"Given set $A = \{x \mid x^2 - 4 \leqslant 0\}$ and $B = \{x \mid 2x + a \leqslant 0\}$, and $A \cap B = \{x \mid -2 \leqslant x \leqslant 1\}$, then $a =$",-2
"Given set $A = \{x \mid |x| < 3, x \in Z\}$ and $B = \{x \mid |x| > 1, x \in Z\}$, then $A \cap B =$","\{-2, 2\}"
"Given the universal set $U = \{-2, -1, 0, 1, 2, 3\}$, and sets $A = \{-1, 0, 1\}$, $B = \{1, 2\}$, then $\complement_U (A \cup B) =$","\{-2, 3\}"
"Given set $A = \{x \mid 1 \leqslant x \leqslant 3\}$ and $B = \{x \mid 2 < x < 4\}$, then $A \cup B =$",\{x \mid 1 \leqslant x < 4\}
"Given the universal set $U = \{-3, -2, -1, 0, 1, 2, 3\}$, and sets $A = \{-1, 0, 1, 2\}$, $B = \{-3, 0, 2, 3\}$, then $A \cap (\complement_U B) =$","\{-1, 1\}"
"Given set $M = \{x \mid -4 < x < 2\}$ and $N = \{x \mid x^2 - x - 6 < 0\}$, then $M \cap N =$",\{x \mid -2 < x < 2\}
"Given the universal set $U = \{1, 2, 3, 4, 5, 6, 7\}$, and sets $A = \{2, 3, 4, 5\}$, $B = \{2, 3, 6, 7\}$, then $B \cap \complement_U A =$","\{6, 7\}"
"Given set $A = \{x \mid x^2 - 5x + 6 > 0\}$ and $B = \{x \mid x < 1\}$, then $A \cap B =$",\{x \mid x < 1\}
"Given set $A = \{x \mid x > -1\}$ and $B = \{x \mid x < 2\}$, then $A \cap B =$","(-1, 2)"
"Given set $A = \{-1, 0, 1, 2\}$ and $B = \{x \mid x^2 \leqslant 1\}$, then $A \cap B =$","\{-1, 0, 1\}"
"Given set $A = \{x \mid x^2 - x - 2 > 0\}$, then $\complement_R A =$",\{x \mid -1 \leqslant x \leqslant 2\}
"Given set $A = \{x \mid x < 1\}$ and $B = \{x \mid 3^x < 1\}$, then $A \cap B =$",\{x \mid x < 0\}
"Given set $A = \{x \mid x < 2\}$ and $B = \{x \mid 3 - 2x > 0\}$, then $A \cap B =$",\{x \mid x < \frac{3}{2}\}
"Given set $S = \{x \mid (x - 2)(x - 3) \geqslant 0\}$ and $T = \{x \mid x > 0\}$, then $S \cap T =$","(0, 2] \cup [3, +\infty)"
"Given set $A = \{1, 2, 4\}$ and $B = \{x \mid x^2 - 4x + m = 0\}$. If $A \cap B = \{1\}$, then $B =$","\{1, 3\}"
"Given set $P = \{x \mid x^2 \leqslant 1\}$ and $M = \{a\}$. If $P \cup M = P$, then the range of the real number $a$ is","[-1, 1]"
"Known sets $A = \{(x, y) \mid x^2 + y^2 \leqslant 1, x, y \in Z\}$ and $B = \{(x, y) \mid |x| \leqslant 2, |y| \leqslant 2, x, y \in Z\}$. Define the set $A \oplus B = \{(x_1 + x_2, y_1 + y_2) \mid (x_1, y_1) \in A, (x_2, y_2) \in B\}$. The number of elements in $A \oplus B$ is",45
"Given the following four propositions: $p_1$: If a complex number $z$ satisfies $\frac{1}{z} \in R$, then $z \in R$; $p_2$: If a complex number $z$ satisfies $z^2 \in R$, then $z \in R$; $p_3$: If complex numbers $z_1, z_2$ satisfy $z_1 z_2 \in R$, then $z_1 = \bar{z}_2$; $p_4$: If a complex number $z \in R$, then $\bar{z} \in R$. The true propositions among these are","p_1, p_4"
"Given proposition $p: \exists x \in \mathbf{R}, \sin x < 1$; proposition $q: \forall x \in \mathbf{R}, e^{|x|} \geqslant 1$. The true proposition among the following is",p \wedge q
"Given proposition $p: \forall x > 0, \ln(x + 1) > 0$ and proposition $q: \text{If } a > b, \text{ then } a^2 > b^2$. The true proposition among the following is",p \wedge \neg q
"Let $x \in R$, then ""$\sin x = 1$"" is a ________ condition for ""$\cos x = 0$""",Sufficient but not necessary
Let $\{a_n\}$ be an infinite arithmetic sequence with a non-zero common difference. Then "$\{a_n\}$ is an increasing sequence" is a ________ condition for "there exists a positive integer $N_0$ such that $a_n > 0$ whenever $n > N_0$.",Necessary and sufficient
"Given $a \in R$, then ""$a > 6$"" is a ________ condition for ""$a^2 > 36$.""",Sufficient but not necessary
"Given non-zero vectors $\vec{a}, \vec{b}, \vec{c}$, then ""$\vec{a} \cdot \vec{c} = \vec{b} \cdot \vec{c}$"" is a ________ condition for ""$\vec{a} = \vec{b}$.""",Necessary but not sufficient
"Given three lines $m, n, l$ in space that do not pass through the same point, then ""$m, n, l$ are in the same plane"" is a ________ condition for ""$m, n, l$ intersect each other in pairs.""",Necessary but not sufficient
"Given $a \in R$, then ""$a > 1$"" is a ________ condition for ""$a^2 > a$.""",Sufficient but not necessary
"Given function $f(x) = x^3$, then its inverse function is",f^{-1}(x) = \sqrt[3]{x}
"Given that the graph of function $f(x) = ax^3 - 2x$ passes through the point $(-1, 4)$, then $a =$",-2
"Given function $f(x) = x^3 + ax^2 + bx + c$, and $0 \leqslant f(-1) = f(-2) = f(-3) \leqslant 3$, then the range of $c$ is",6 < c \leqslant 9
"Given functions $f(x) = 5^{|x|}$ and $g(x) = ax^2 - x \ (a \in R)$. If $f[g(1)] = 1$, then $a =$",1
"Given $f(x) = \frac{x}{1+x}, x \geqslant 0$. If $f_1(x) = f(x)$ and $f_{n+1}(x) = f(f_n(x)), n \in N_+$, then the expression for $f_{2014}(x)$ is",\frac{x}{1 + 2014x}
The domain of the function $f(x) = \frac{1}{x} + \sqrt{1-x}$ is,"(-\infty, 0) \cup (0, 1]"
The domain of the function $f(x) = \frac{1}{x+1} + \ln x$ is,"(0, +\infty)"
The domain of the function $y = \sqrt{7 + 6x - x^2}$ is,"(-\infty, 0]"
The domain of the function $f(x) = \frac{1}{\sqrt{(\log_2 x)^2 - 1}}$ is,"(0, \frac{1}{2}) \cup (2, +\infty)"
"Given the function $f(x) = \begin{cases} 2^{x-1} - 2, & x \leqslant 1 \\ -\log_2(x+1), & x > 1 \end{cases}$. If $f(a) = -3$, then $f(6-a) =$",-\frac{7}{4}
"Given the function $f(x) = \begin{cases} 1 + \log_2(2-x), & x < 1 \\ 2^{x-1}, & x \geqslant 1 \end{cases}$, then $f(-2) + f(\log_2 12) =$",9
"Given the function $f(x) = \begin{cases} x+1, & x \leqslant 0 \\ 2^x, & x > 0 \end{cases}$, the range of $x$ satisfying $f(x) + f(x-\frac{1}{2}) > 1$ is","(-\frac{1}{4}, +\infty)"
"Given the function $f(x) = \begin{cases} e^{x-1}, & x < 1 \\ x^{\frac{1}{3}}, & x \geqslant 1 \end{cases}$, the range of $x$ satisfying $f(x) \leqslant 2$ is","(-\infty, 8]"
"Given the function $f(x) = \begin{cases} -x^2 + 2, & x \leqslant 1 \\ x + \frac{1}{x} - 1, & x > 1 \end{cases}$, then $f(f(\frac{1}{2})) =$ ________; if $x \in [a, b]$, and $1 \leqslant f(x) \leqslant 3$, then the maximum value of $b - a$ is ________.","\frac{37}{28}, 3 + \sqrt{3}"
"Given $a \in R$, and the function $f(x) = \begin{cases} x^2 - 4, & x > 2 \\ |x - 3| + a, & x \leqslant 2 \end{cases}$. If $f(f(\sqrt{6})) = 3$, then $a =$ ________.",2
"Given the function $f(x) = \begin{cases} -x^2 + 2x, & x \leqslant 0 \\ \ln(x + 1), & x > 0 \end{cases}$. If $|f(x)| \geqslant ax$, then the range of the real number $a$ is","[-2, 0]"
"Among the following functions, the one with a minimum value of 4 is",y = 2^x + 2^{2-x}
"If the maximum value of function $f(x) = x^2 + ax + b$ on the interval $[0, 1]$ is $M$ and the minimum value is $m$, then $M - m$","Depends on $a$, but is independent of $b$"
"Given $a \in R$, and the maximum value of function $f(x) = \left|x + \frac{4}{x} - a\right| + a$ on the interval $[1, 4]$ is 5, then the range of $a$ is","(-\infty, \frac{9}{2}]"
"Among the following functions, the one that is an increasing function is ________.",f(x) = \sqrt[3]{x}
"Known that the function $f(x) = \lg(x^2 - 4x - 5)$ is monotonically increasing on the interval $(a, +\infty)$, then the range of the real number $a$ is","[5, +\infty)"
"Let the function $f(x) = e^x + ae^{-x}$ ($a$ is a constant). If $f(x)$ is an odd function, then $a =$ ________; if $f(x)$ is an increasing function on $R$, then the range of $a$ is","-1, (-\infty, 0])"
"If the function $e^x f(x)$ ($e = 2.71828 \dots$ is the base of natural logarithms) is monotonically increasing on the domain of $f(x)$, then the function $f(x)$ is said to have the $M$-property. Among the following functions, those having the $M$-property are","f(x) = 2^{-x}, f(x) = x^2 + 2"
"If $f(x) = \ln\left|a + \frac{1}{1-x}\right| + b$ is an odd function, then $a =$ ________, $b =$ ________.","-\frac{1}{2}, \ln 2"
"Given function $f(x) = \frac{1-x}{1+x}$, the odd function among the following is",f(x - 1) + 1
"Given that $f(x)$ is an odd function with domain $R$, and $f(1+x) = f(-x)$. If $f\left(-\frac{1}{3}\right) = \frac{1}{3}$, then $f\left(\frac{5}{3}\right) =$",\frac{1}{3}
"Given function $f(x) = x^3(a \cdot 2^x - 2^{-x})$ is an even function, then $a =$",1
"Given function $f(x)$ with domain $R$, such that $f(x+1)$ is an odd function and $f(x+2)$ is an even function. When $x \in [1, 2]$, $f(x) = ax^2 + b$. If $f(0) + f(3) = 6$, then $f(\frac{9}{2}) =$",\frac{5}{2}
"Given function $f(x) = \frac{1-x}{1+x}$, the odd function among the following is",f(x - 1) + 1
"Given that the odd function $f(x)$ is defined on $R$, is monotonically decreasing on the interval $(-\infty, 0)$, and satisfies $f(2) = 0$, the range of $x$ that satisfies $xf(x - 1) \geqslant 0$ is","[-1, 0] \cup [1, 3]"
"Given that $f(x)$ is an odd function, and when $x < 0$, $f(x) = -e^{ax}$. If $f(\ln 2) = 8$, then $a =$",-3
"Given that $f(x)$ is an odd function defined on $R$ and is monotonically decreasing on $(-\infty, 0)$ with $f(2) = 0$, then $f(x)$ is also monotonically decreasing on $(0, +\infty)$. Because $f(x)$ is an odd function and $f(2) = 0$, it follows that $f(-2) = 0$ and $f(0) = 0$. The values of the function are $f(x) > 0$ when $x \in (-\infty, -2) \cup (0, 2)$ and $f(x) < 0$ when $x \in (-2, 0) \cup (2, +\infty)$. Solving the inequality $xf(x-1) \geqslant 0$, we find the range of $x$ is","[-1, 0] \cup [1, 3]"
"Given that $f(x)$ is an odd function, and for $x < 0$, $f(x) = -e^{ax}$. Since $f(x)$ is odd, $f(\ln 2) = -f(-\ln 2)$. Given $f(\ln 2) = 8$, we have $-e^{-a\ln 2} = -8$, which simplifies to $2^{-a} = 2^3$, so $a =$",-3
"Given that $f(x)$ is an odd function defined on $R$, and for $x \in (-\infty, 0)$, $f(x) = 2x^3 + x^2$. To find $f(2)$, we use the odd property $f(2) = -f(-2)$. Calculating $f(-2) = 2(-2)^3 + (-2)^2 = -16 + 4 = -12$, thus $f(2) =$",12
"Given that $f(x) = x \ln(x + \sqrt{a + x^2})$ is an even function, by the definition of even functions $f(x) = f(-x)$, we have $x \ln(x + \sqrt{a + x^2}) = -x \ln(-x + \sqrt{a + x^2})$. This implies $\ln(x + \sqrt{a + x^2}) + \ln(\sqrt{a + x^2} - x) = 0$, which leads to $\ln(a + x^2 - x^2) = \ln a = 0$. Therefore $a =$",1
"Given that the even function $f(x)$ has a graph symmetric about the line $x = 2$, we have $f(x) = f(4 - x)$. Since $f(x)$ is even, $f(-1) = f(1)$. Using the symmetry about $x = 2$, $f(1) = f(4 - 1) = f(3)$. Given $f(3) = 3$, then $f(-1) =$",3
"Given that the even function $f(x)$ is monotonically decreasing on $[0, +\infty)$ and $f(2) = 0$. The inequality $f(x - 1) > 0$ is equivalent to $f(|x - 1|) > f(2)$. Due to the monotonicity on the positive axis, this implies $|x - 1| < 2$, which leads to $-2 < x - 1 < 2$. Thus, the range for $x$ is","(-1, 3)"
"Given $f(x) = \ln(\sqrt{1 + 9x^2} - 3x) + 1$, let $g(x) = \ln(\sqrt{1 + 9x^2} - 3x)$. Since $g(x) + g(-x) = \ln(1 + 9x^2 - 9x^2) = 0$, $g(x)$ is an odd function. Therefore, $f(x) + f(-x) = g(x) + 1 + g(-x) + 1 = 2$. Given that $\lg 2 + \lg \frac{1}{2} = 0$, then $f(\lg 2) + f(\lg \frac{1}{2}) =$",2
"Given that $f(x)$ is an odd function, and when $x > 0$, $f(x) = x^2 + \frac{1}{x}$, then $f(-1) =$",-2
"Given that $f(x)$ is an odd function and $g(x)$ is an even function, and $f(-1) + g(1) = 2$, $f(1) + g(-1) = 4$, then $g(1)$ equals",3
"Given function $f(x) = ax^3 + b\sin x + 4$ ($a, b \in R$). If $f(\lg(\log_2 10)) = 5$, then $f(\lg(\lg 2)) =$",3
"Given that the domain of function $f(x)$ is $R$, and $f(x + y) + f(x - y) = f(x)f(y)$, $f(1) = 1$, then $\sum_{k=1}^{22} f(k) =$",-3
"Given function $f(x)$ with domain $R$, such that $f(x + 1)$ is an odd function and $f(x + 2)$ is an even function. When $x \in [1, 2]$, $f(x) = ax^2 + b$. If $f(0) + f(3) = 6$, then $f(\frac{9}{2}) =$",\frac{5}{2}
"Given function $f(x)$ with domain $R$, such that $f(x+2)$ is an even function and $f(2x+1)$ is an odd function. Then",f(-1) = 0
"Given $f(x)$ is an odd function defined on $(-\infty, +\infty)$ satisfying $f(1-x) = f(1+x)$. If $f(1) = 2$, then $f(1) + f(2) + f(3) + \dots + f(50) =$",2
"Given function $f(x)$ satisfies $f(x+4) = f(x)$ for all $x \in R$. On the interval $(-2, 2]$, the function is defined as $f(x) = \begin{cases} \cos \frac{\pi x}{2}, & 0 < x \leqslant 2 \\ |x + \frac{1}{2}|, & -2 < x \leqslant 0 \end{cases}$. Then the value of $f(f(15)) =$",\frac{\sqrt{2}}{2}
"???? $f(x)$ ????? $R$. ? $x<0$ ?, $f(x)=x^3-1$ ; ? $-1 \leqslant x \leqslant 1$ ?, $f(-x)=-f(x)$; ? $x>\frac{1}{2}$ ?, $f\left(x+\frac{1}{2}\right)=f\left(x-\frac{1}{2}\right)$, ? $f(6)=$",$2$
"??? $y=f(x)$ ??????? $x=2$ ??, $f(3)=3$, ? $f(-1)=$",$3$
"??? $f(x)=\left(1-x^{2}\right)\left(x^{2}+a x+b\right)$ ??????? $x=-2$ ??, ? $f(x)$ ?????",$16$
"???? $f(x)=\frac{1}{1+2^{x}}$, ?????? $x$, ?",$f(-x)+f(x)=1$
"???? $f(x),g(x)$ ?????? $R$, ? $f(x)+g(2-x)=5,g(x)-f(x-4)=7$. ? $y=g(x)$ ??????? $x=2$ ??, $g(2)=4$, ? $\sum_{k=1}^{22}f(k)=$",$-24$
"?????????????????? $f(x)$ : ?$f(x_1 x_2)=f(x_1)f(x_2)$; ?? $x \in (0,+\infty)$ ?, $f'(x)>0$; ?$f'(x)$ ????.",$f(x)=x^4$
"?? $a \in R$, ??? $f(x)=\begin{cases}x^2-2ax+2a, & x \leqslant 1 \\ x-a\ln x, & x>1\end{cases}$, ??? $x$ ???? $f(x) \geqslant 0$ ? $R$ ????, ? $a$ ??????","$[0, \mathrm{e}]$"
"???? $f(x)=\begin{cases}2\sqrt{x}, & 0 \leqslant x \leqslant 1 \\ \frac{1}{x}, & x>1\end{cases}$, ??? $x$ ??? $f(x)=-\frac{1}{4}x+a(a \in R)$ ??????????, ? $a$ ??????","$\left[\frac{5}{4}, \frac{9}{4}\right] \cup \{1\}$"
"$f(x)=x^3-2x+\mathrm{e}^x-\frac{1}{\mathrm{e}^x}$, ?? $\mathrm{e}$ ????????, ? $f(a-1)+f(2a^2) \leqslant 0$, ??? $a$ ??????","$[-1, \frac{1}{2}]$"
"????? $f(x)$ ? $R$ ?????, $g(x)=xf(x)$. ? $a=g(-\log_2 5.1), b=g(2^{0.8}), c=g(3)$, ? $a, b, c$ ??????",$b<a<c$
"?? $f(x)$ ? $(-\infty,+\infty)$ ????, ?????. ? $f(1)=-1$, ??? $-1 \leqslant f(x-2) \leqslant 1$ ? $x$ ??????","$[1, 3]$"
"??? $f(x)=\ln(1+|x|)-\frac{1}{1+x^2}$, ??? $f(x)>f(2x-1)$ ??? $x$ ??????","$(\frac{1}{3}, 1)$"
"????? $f(x)$ ? $[0,+\infty)$ ????, $f(2)=0$. ? $f(x-1)>0$, ? $x$ ??????","$(-1, 3)$"
"?? $9^m=10,a=10^m-11,b=8^m-9$, ???????",$a>0>b$
"?? $2^a=5, \log_8 3=b$, ? $4^{a-3b}=$",$\frac{25}{9}$
"???? $f(x)=2^x-x-1$, ???? $f(x)>0$ ????","$(0, 1)$"
"?? $x, y, z$ ???, ? $2^x=3^y=5^z$, ???????",$3y < 2x < 5z$
"??? $f(x)=\begin{cases}3x-1, & x < 1 \\ 2^x, & x \geqslant 1\end{cases}$, ??? $f(f(a))=2^{f(a)}$ ? $a$ ??????","$\left[\frac{2}{3}, +\infty\right)$"
"? $a=0.1\mathrm{e}^{0.1}, b=\frac{1}{9}, c=-\ln 0.9$, ???????",$c<a<b$
"?? $a=\log_5 2, b=\log_8 3, c=\frac{1}{2}$, ???????",$a<c<b$
"? $a=\log_2 0.3, b=\log_{\frac{1}{2}} 0.4, c=0.4^{0.3}$, ? $a, b, c$ ??????",$a<c<b$
"? $2^a=5^b=10$, ? $\frac{1}{a}+\frac{1}{b}=$",$1$
"? $a \log_3 4=2$, ? $4^{-a}=$",$\frac{1}{9}$
"? $2^a+\log_2 a=4^b+2\log_4 b$, ???????",$a<2b$
"$Logistic$ ???????????, ??????????. ?????????????????????????? $I(t)$($t$ ???:?) ? $Logistic$ ??: $I(t)=\frac{K}{1+\mathrm{e}^{-0.23(t-53)}}$, ?? $K$ ????????. ? $I(t^*)=0.95K$ ?, ??????????, ? $t^*$ ?? $(\ln19 \approx 3)$",$66$
"? $a=\log_3 2, b=\log_5 3, c=\frac{2}{3}$, ?",$a<c<b$
"?? $5^5<8^4, 13^4<8^5$. ? $a=\log_5 3, b=\log_8 5, c=\log_{13} 8$, ?",$a<b<c$
"? $a=3^{0.7}, b=\left(\frac{1}{3}\right)^{-0.8}, c=\log_{0.7} 0.8$, ? $a, b, c$ ??????",$c<a<b$
"?? $a=\log_5 2, b=\log_{0.5} 0.2, c=0.5^{0.2}$, ? $a, b, c$ ?????? ",$a<c<b$
"? $a=\log_{0.2} 0.3, b=\log_2 0.3$, ?",$ab < a+b < 0$
"?????, ?????? $y=\ln x$ ??????? $x=1$ ????",$y=\ln(2-x)$
"???? $f(x)=\log_2(x^2+a)$, ? $f(3)=1$, ? $a=$",$-7$
"???? $f(x)=\ln(\sqrt{1+x^2}-x)+1, f(a)=4$, ? $f(-a)=$",$-2$
"???? $f(x)=\begin{cases}e^x, & x \leqslant 0 \\ \ln x, & x>0\end{cases}, g(x)=f(x)+x+a$. ? $g(x)$ ?? 2 ???, ? $a$ ??????","$[-1, +\infty)$"
"?? $a=\log_2 e, b=\ln 2, c=\log_{\frac{1}{2}} \frac{1}{3}$, ? $a, b, c$ ??????",$c>a>b$
?? $f(x)=\sqrt{\log_2 x - 1}$ ?????,"$[2, +\infty)$"
?? $f(x)=\ln(x^2-2x-8)$ ????????,"$(4, +\infty)$"
"??????,???????????? $M$ ?? $3^{361}$,???????????????? $N$ ?? $10^{80}$. ??????? $\frac{M}{N}$ ????? (????: $\lg3 \approx 0.48$)",$10^{93}$
"?????,???????????? $y=10^{\lg x}$ ???????????",$y=\frac{1}{\sqrt{x}}$
"??? $f(x)=\begin{cases}1+\log_2(2-x), & x<1 \\ 2^{x-1}, & x \geqslant 1\end{cases}$, ? $f(-2)+f(\log_2 12)=$",$9$
"??? $y=f(x)$ ???? $y=2^{x+a}$ ??????? $y=-x$ ??,? $f(-2)+f(-4)=1$, ? $a=$",$2$
"?? $y=f(x)$ ????,? $x \geqslant 0$ ?, $f(x)=x^{\frac{2}{3}}$, ? $f(-8)$ ???",$-4$
"? $a>b>1, 0<c<1$, ?",$a \log_b c < b \log_a c$
"?? $a=2^{\frac{4}{3}},b=4^{\frac{2}{5}},c=25^{\frac{1}{3}}$, ?",$b<a<c$
"? $a>b>0, 0<c<1$, ?",$\log_c a < \log_c b$
"??? $f(x)=\begin{cases}e^{x-1}, & x<1 \\ x^{\frac{1}{3}}, & x \geqslant 1\end{cases}$, ??? $f(x) \leqslant 2$ ??? $x$ ??????","$(-\infty, 8]$"
"?? $a \in R$, ??????? $R$ ??? $f(x)$ ??????????, ???? $x_0 \in R, f(x_0)$ ??? $x_0$ ? $x_0^2$; ??? $x$ ??? $f(x)=a$ ????; ? $a$ ??????","$(-\infty, 0) \cup (0, 1) \cup (1, +\infty)$"
"???? $f(x)=\begin{cases} x^3, & x \geqslant 0 \\ -x, & x < 0 \end{cases}$. ??? $g(x)=f(x)-|kx^2-2x|(k \in \mathbf{R})$ ?? 4 ???, ? $k$ ??????","$(-\infty, 0) \cup (2\sqrt{2}, +\infty)$"
"?? $f(x)=2\sin x - \sin 2x$ ? $[0, 2\pi]$ ??????",$3$
"? $f(x),g(x)$ ???? $R$ ????????, $f(x)$ ???? $4, g(x)$ ???? $2$, ? $f(x)$ ????. ? $x \in (0,2]$ ?, $f(x)=\sqrt{1-(x-1)^2}, g(x)=\begin{cases}k(x+2), & 0<x \leqslant 1 \\ -\frac{1}{2}, & 1<x \leqslant 2\end{cases}$, ?? $k>0$. ???? $(0, 9]$ ?, ?? $x$ ??? $f(x)=g(x)$ ? $8$ ???????, ? $k$ ??????","$\left[\frac{1}{3}, \frac{1}{2\sqrt{2}}\right)$"
"?? $a,b \in R$, ?? $f(x)=\begin{cases}x, & x<0 \\ \frac{1}{3}x^3-\frac{1}{2}(a+1)x^2+ax, & x \geqslant 0\end{cases}$, ??? $y=f(x)-ax-b$ ?? $3$ ???, ?","$a>-1, b<0$"
"?? $f(x)=\cos\left(3x+\frac{\pi}{6}\right)$ ? $[0,\pi]$ ??????",$3$
"??? $f(x)=2x^3-ax^2+1(a \in R)$ ? $(0,+\infty)$ ?????????,? $f(x)$ ? $[-1,1]$ ????????????",$-3$
"?? $\lambda \in R$, ?? $f(x)=\begin{cases} x-4, & x \geqslant \lambda \\ x^2-4x+3, & x < \lambda \end{cases}$, ? $\lambda=2$ ?, ??? $f(x)<0$ ???? . ??? $f(x)$ ?? 2 ???, ? $\lambda$ ?????? .","$(1,4); (1,3] \cup (4,+\infty)$"
"???? $f(x)=\begin{cases}e^x, & x \leqslant 0 \\ \ln x, & x>0\end{cases}, g(x)=f(x)+x+a$. ? $g(x)$ ?? 2 ???, ? $a$ ??????","$[-1, +\infty)$"
"???? $f(x)=x^2-2x+a(e^{x-1}+e^{-x+1})$ ?????, ? $a=$",$\frac{1}{2}$
"???????????????, ????????????. ????????????????????, ???????? $L$ ????????? $V$ ??? $L=5+\lg V$. ????????????????? $4.9$, ?????????????? $(\sqrt[10]{10} \approx 1.259)$",$0.8$
"? $f(x)$ ???? $R$ ???? 1 ???, ??? $[0, 1)$ ?, $f(x)=\begin{cases}x^2, x \in D \\ x, x \notin D\end{cases}$ ???? $D=\{x | x=\frac{n-1}{n}, n \in N^*\}$, ??? $f(x)-\lg x=0$ ??????",$8$
"? $a \in \mathbf{R}$, ?? $f(x)=\begin{cases}\cos(2\pi x-2\pi a), & x < a \\ x^2-2(a+1)x+a^2+5, & x \geqslant a\end{cases}$, ? $f(x)$ ??? $(0,+\infty)$ ??? 6 ???, ? $a$ ?????? ","$\left(2, \frac{9}{4}\right] \cup \left(\frac{5}{2}, \frac{11}{4}\right]$"
